Original Name,Common Name,Medicinal Use,Abused For,Side Effects,History
Methyltestosterone,Virilon,Treating low testosterone,Muscle growth & performance,Liver toxicity,Synthesized in the 1930s. one of the first oral anabolic steroids
Fluoxymesterone,Halotestin,Hypogonadism and delayed puberty,Strength gains,Liver damage,Introduced in the 1950s. known for high androgenic effects
Oxymetholone,Anadrol,Treating anemia,Rapid weight gain,Severe liver toxicity,Approved in the 1950s. known for potent anabolic effects
Methandienone,Dianabol,None (discontinued),"Muscle mass, strength",Liver toxicity,Introduced in the 1960s. popular among bodybuilders
Mibolerone,Cheque Drops,Veterinary use,Aggression boost,Severe liver toxicity,Known for extreme androgenic potency
Calusterone,Methosarb,Breast cancer treatment,Rarely abused,Hair loss,Developed in the mid-20th century as a therapeutic androgen
Ethylestrenol,Maxibolin,Treating anemia,Lean muscle retention,Liver stress,Rarely used today due to side effects
Furazabol,Miotolan,Treating hyperlipidemia,Lean muscle retention,Liver stress,Developed in Japan. rarely used today
Mestanolone,Methyl-DHT,Treating low testosterone,Muscle hardening,Hair loss,Oral version of DHT derivative. used for therapeutic purposes
Boldenone Undecylenate,Equipoise,Veterinary use (horses),Lean muscle gain,Acne,Developed for veterinary purposes. widely used by bodybuilders
Testosterone Undecanoate,Nebido,Hormone replacement therapy,Performance enhancement,Acne,Introduced in the 2000s. long-acting testosterone ester
Methasterone,Superdrol,None (discontinued),Rapid muscle growth,Liver toxicity,Designer steroid popular in the early 2000s. banned shortly after
Chlorodehydromethyltestosterone,Turinabol,Treating delayed puberty,Lean muscle retention,Liver damage,Developed in East Germany for athletes. linked to doping scandals
Oxymesterone,Anamidol,Treating low testosterone,Muscle growth,Liver stress,Developed in the mid-20th century. rarely used today
Formebolone,Esiclene,Treating growth failure,Muscle swelling,Localized swelling,Known for its use in localized muscle enhancement
Trenbolone Hexahydrobenzylcarbonate,Parabolan,Veterinary use (muscle growth in livestock),Bulking and cutting,Night sweats,Long-acting trenbolone ester introduced for veterinary use
Nandrolone Phenylpropionate,NPP,"Treating anemia, osteoporosis",Muscle growth,Joint pain,Developed in the 1960s. shorter-acting nandrolone ester
Nandrolone Decanoate,Deca,"Treating anemia, muscle wasting",Bulking,Water retention,Developed in the 1960s. long-acting nandrolone ester
Testosterone Cypionate,Cypionate,Hormone replacement therapy,Performance enhancement,Acne,Introduced in the 1950s. widely used testosterone ester
Testosterone Enanthate,Enanthate,Hormone replacement therapy,Performance enhancement,Acne,Introduced in the 1950s. long-acting testosterone ester
Testosterone Propionate,Propionate,Hormone replacement therapy,Performance enhancement,Acne,Introduced in the 1930s. short-acting testosterone ester
Trenbolone Acetate,Finaplix,Veterinary use (muscle growth in livestock),Bulking and cutting,Night sweats,Popular among bodybuilders for its potency
Methenolone Enanthate,Primobolan Depot,Treating muscle-wasting diseases,Lean muscle retention,Hair loss,Known for mild anabolic effects and low androgenicity
Oxandrolone,Anavar,Weight gain after surgery or trauma,Cutting cycles,Liver damage,Approved in the 1960s. known for mild androgenic effects
